batch_size,seq_len,tokens,dtype,reference_mean_forward_ms,megablocks_mean_forward_ms,megablocks_speedup_vs_reference,correctness_passed,max_abs_vs_reference,router_expert_set_mismatch_count,trained_expert_bias_max_abs
4,128,512,float32,0.31358293533325193,0.5898477681477864,0.5316336727321205,True,0.0,0,0.04331197962164879
8,128,1024,float32,0.352433172861735,0.5356746673583984,0.6579239122874857,True,0.0,0,0.04331197962164879
16,128,2048,float32,0.41051862080891927,0.5410645421346029,0.7587239392722815,True,0.0,0,0.04331197962164879
32,128,4096,float32,0.6393402735392253,0.6314844767252604,1.0124402057429873,True,0.0,0,0.04331197962164879
64,128,8192,float32,1.1683907318115234,0.9837329101562501,1.1877113388693517,True,0.0,0,0.04331197962164879
128,128,16384,float32,2.2141432189941406,1.6693691507975261,1.3263352913502406,True,0.0,0,0.04331197962164879
